[DEBUG] Procedimento 0 carregado: Tempo Médio = 0.200000, Número de Unidades = 2
[DEBUG] Procedimento 1 carregado: Tempo Médio = 0.500000, Número de Unidades = 10
[DEBUG] Procedimento 2 carregado: Tempo Médio = 0.100000, Número de Unidades = 20
[DEBUG] Procedimento 3 carregado: Tempo Médio = 0.050000, Número de Unidades = 3
[DEBUG] Procedimento 4 carregado: Tempo Médio = 0.500000, Número de Unidades = 50
[DEBUG] Procedimento 5 carregado: Tempo Médio = 0.050000, Número de Unidades = 22
[DEBUG] Evento retirado -> ID: 9916251, Tempo: 443186.90, Tempo de espera: 0.20, Estado: 5
[DEBUG] Evento retirado -> ID: 9916254, Tempo: 443187.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916255, Tempo: 443187.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916252, Tempo: 443187.10, Tempo de espera: 0.40, Estado: 13
[DEBUG] Evento retirado -> ID: 9916253, Tempo: 443187.10, Tempo de espera: 0.40, Estado: 13
[DEBUG] Evento retirado -> ID: 9916254, Tempo: 443187.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916255, Tempo: 443187.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916236, Tempo: 443187.45, Tempo de espera: -0.00, Estado: 11
[DEBUG] Evento retirado -> ID: 9916239, Tempo: 443187.50, Tempo de espera: 0.20, Estado: 9
[DEBUG] Evento retirado -> ID: 9916250, Tempo: 443187.60, Tempo de espera: 0.20, Estado: 7
[DEBUG] Evento retirado -> ID: 9916254, Tempo: 443187.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916255, Tempo: 443187.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916250, Tempo: 443187.70, Tempo de espera: 0.20, Estado: 9
[DEBUG] Evento retirado -> ID: 9916242, Tempo: 443187.85, Tempo de espera: -0.00, Estado: 9
[DEBUG] Evento retirado -> ID: 9916256, Tempo: 443188.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916257, Tempo: 443188.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916258, Tempo: 443188.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916259, Tempo: 443188.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916260, Tempo: 443188.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916235, Tempo: 443188.15, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916256, Tempo: 443188.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916257, Tempo: 443188.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916250, Tempo: 443188.20, Tempo de espera: 0.20, Estado: 11
[DEBUG] Evento retirado -> ID: 9916246, Tempo: 443188.25, Tempo de espera: 0.20, Estado: 11
[DEBUG] Evento retirado -> ID: 9916258, Tempo: 443188.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916259, Tempo: 443188.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916251, Tempo: 443188.40, Tempo de espera: 0.20, Estado: 7
[DEBUG] Evento retirado -> ID: 9916243, Tempo: 443188.50, Tempo de espera: -0.00, Estado: 7
[DEBUG] Evento retirado -> ID: 9916260, Tempo: 443188.60, Tempo de espera: 0.40, Estado: 3
[DEBUG] Evento retirado -> ID: 9916256, Tempo: 443188.70, Tempo de espera: -0.00, Estado: 5
[DEBUG] Evento retirado -> ID: 9916257, Tempo: 443188.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916236, Tempo: 443188.75, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916258, Tempo: 443188.90, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916259, Tempo: 443188.90, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916261, Tempo: 443189.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916262, Tempo: 443189.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916263, Tempo: 443189.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916260, Tempo: 443189.10, Tempo de espera: 0.40, Estado: 13
[DEBUG] Evento retirado -> ID: 9916261, Tempo: 443189.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916262, Tempo: 443189.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916250, Tempo: 443189.20, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916246, Tempo: 443189.30, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916263, Tempo: 443189.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916243, Tempo: 443189.40, Tempo de espera: -0.00, Estado: 9
[DEBUG] Evento retirado -> ID: 9916243, Tempo: 443189.40, Tempo de espera: -0.00, Estado: 11
[DEBUG] Evento retirado -> ID: 9916261, Tempo: 443189.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916262, Tempo: 443189.70, Tempo de espera: -0.00, Estado: 5
[DEBUG] Evento retirado -> ID: 9916263, Tempo: 443189.90, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916251, Tempo: 443189.95, Tempo de espera: 0.20, Estado: 9
[DEBUG] Evento retirado -> ID: 9916262, Tempo: 443190.80, Tempo de espera: -0.00, Estado: 7
[DEBUG] Evento retirado -> ID: 9916266, Tempo: 443191.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916267, Tempo: 443191.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916262, Tempo: 443191.15, Tempo de espera: -0.00, Estado: 9
[DEBUG] Evento retirado -> ID: 9916266, Tempo: 443191.20, Tempo de espera: -0.00, Estado: 3
